building_code,building_full_name
ARTA,"Art Annex LEWH Lewis Hall"
ATHO,"Athletic Offices LSWC Life Service & Wellness Center"
AUDI,"Auditorium HILL Lon C Hill Hall"
AVBL,"Aviary Building LYNC Lynch Hall"
BAIL,"Bailey Art Building MCGS Maint Center III Garage-Storag"
MUSB,"Bellamah Music Building MH-A Martin Hall Side A"
BESB,"Biology Earth Sciences Bldg MH-B Martin Hall Side B"
BISH,"Bishop Hall MCCU McCulley Hall"
BUSA,"Business Administration Bldg MCEL McNeil Engineering Lab"
CCYC,"Center for Young Children MSUB Memorial Student Union Bldg"
CUP1,"Central Utility Plant 1 MVWT Mesquite Village West"
CP1A,"Central Utility Plant 1 Annex NIAN Nierman Annex"
CUP2,"Central Utility Plant 2 NIER Nierman Science Hall"
COLH,"College Hall PERK Perks Building"
DOTT,"Dotterweich Engineering Bldg PHAR Pharr"
DRMA,"Drama/Art Building PHYP Physical Plant Building"
SEAL,"Edward W Seale Hall PPSH Physical Plant-Shop Building"
EKHL,"Ekhardt Hall PLMS Plant Materials Center"
ENGC,"Engineering Complex POST Post Office"
INDT,"Gross Ind & Tech Bldg PRGR Presidents Garage and Apt"
HREC,"Health & Recreation Bldg PRES Presidents Home"
HAGL,"Howe Agriculture Lab COUH Robert B Cousins Hall"
HSBL,"Human Sciences Building RHOD Robert D Rhode Hall"
MANN,"J R Manning Hall SAMF Sam Fore Jr Hall"
MART,"J. C. Martin Hall SH01 Sam Houston High School"
JHCC,"James H Clement Center SPEE Speech Building"
JVHO,"Javelina House SPEC Steinke Physical Ed Center"
JVSO,"Javelina Stadium Offices SSBL Support Services Building"
LIBR,"Jernigan Library TURN Turner Hall"
SERP,"John C. Perez Serpentarium TBHL Turner-Bishop Hall"
JCMU,"John E Conner Museum BOOK University Bookstore"
JOAU,"Jones Auditorium FARM University Farm"
KVMH,"Karr Veteran's Mem Hall (ROTC) UNIV University Village"
KAGI,"Kleberg Building for Agricultu VEHS Vehicle Storage Bldg (P Plant)"
KLBH,"Kleberg Hall WILD Wild Life Center"
